21.07.2023                                                                                                                    Salida dinámica de lista                                                                                                                                                                          1

21.07.2023			                                                                                                                                    LISTADO DE PEDIDOS CON DATOS DE JERARQUÍA																									  1

LISTADO DE PEDIDOS CON DATOS DE JERARQUÍA

		Fecha doc.		Solicitante	Cliente	Nº de cliente 1	Marca	Material	Número de material	  Unidades	UM	    ValorNeto	Nº pedido cliente	Doc.venta	ClVt	Solic.	OrgVt	CDis	OfVta	GVen	Organización de ventas	Mon.	Jquía.productos	Total Pedidos	Plataforma	Fe.PedCpas	Creado por
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Max Factor	PB0074056	RUBOR COLORFAST DUO MF NATURAL BEAUTY	        1	UN	      20,504	0085782604	903156673	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001005033001002009	           0	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Vitú	PB0035821	VITU RUBOR VITAMINA E 3 POMELO TRAD	        1	UN	       5,311	0085782604	903156673	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001017080001002009	           0	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Max Factor	1004410140	PROM PESTAÑINA LASH MAKER NEG + MINI	        3	UN	      62,319	0085782604	903156673	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001005033001001001	           0	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Max Factor	PB0001134	PESTAÑINA LASH MAKER MF NEGRA	        1	UN	      14,723	0085782604	903156673	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001005033001001001	           0	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Max Factor	PB0001135	PESTAÑINA LASH MAKER MF CAFE	        1	UN	      14,723	0085782604	903156673	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001005033001001001	           0	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Vitú	PB0073661	VITÚ LÁPIZ OJOS VITE 1 NEGRO 1,3G	        1	UN	       7,058	0085782604	903156673	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001017080001001004	           0	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Vitú	PB0067970	VITU BRILLO KARITÉ 05 MOCA	        1	UN	       8,000	0085782604	903156673	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001017080001003012	           0	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Vitú	PB0079664	VITÚ LABIAL CALEN TONO7 BORGOÑA 4G	        1	UN	       7,326	0085782604	903156673	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001017080001003	           0	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Vitú	PB0088954	VITÚ BÁLSAMOS SÁBILA 4 FRAMBUESA 4G	        1	UN	       5,040	0085782604	903156673	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001017080001003	           0	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Vitú	PB0037195	VITU ESPUMA LIMPIADORA	        1	UN	      19,830	0085782604	903156673	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001017080002075282	           0	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Vitú	PB0051819	JABÓN EXFOLIANTE VITU FRUTOS ROJOS	        1	UN	      13,101	0085782604	903156673	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001017080002075284	           0	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Vitú	PB0067275	GEL LIMPIADOR FACIAL POMELO 150 ML	        1	UN	      13,102	0085782604	903156673	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001017080002075287	           0	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Max Factor	PB0060801	BASE LASTING PERF MF 105 SFT BGE	        1	UN	      51,025	0085782604	903156643	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001005033001002008	           1	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Max Factor	3004030550	BASE PAN STIK MF 55 NATURAL	        1	UN	      28,571	0085782604	903156643	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001005033001002008	           0	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Max Factor	3004030750	BASE PAN STIK MF 75 GOLDEN	        1	UN	      28,571	0085782604	903156643	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001005033001002008	           0	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Max Factor	PB0070404	PESTAÑINA FLE MF 01 BLACK WP	        1	UN	      44,303	0085782604	903156643	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001005033001001001	           0	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Max Factor	1005210010	DELINEADOR HI FI MF 01 NEGRO	        1	UN	      30,185	0085782604	903156643	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001005033001001002	           0	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Max Factor	1004300300	DELINEADOR KOHL MF 30 BROWN	        1	UN	      26,555	0085782604	903156643	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001005033001001004	           0	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Max Factor	3004290300	LABIAL COLORFAST MF 30 CASTANO DIV	        1	UN	      17,815	0085782604	903156643	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001005033001003010	           0	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Max Factor	PB0073140	BASE FACEFINITY MF 3IN1 80 BRONZE	        1	UN	      54,387	0085782604	903156655	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001005033001002008	           1	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Vitú	PB0068846	VITU POLVO SABILA 2 AVELL U EMP NI	        1	UN	       6,654	0085782604	903156655	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001017080001002006	           0	ALMACENES EXITO SA	19.07.2023	JOBS
